PlaylistName,CollaborativePlaylist,SongName,AddedBy,Artist,Feature1,Feature2,Feature3,Feature4,Feature5
taking a stroll ,False,1979 - Remastered 2012,1261707344,The Smashing Pumpkins,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Everlong,1261707344,Foo Fighters,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,All Apologies,1261707344,Nirvana,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Today - 2011 Remaster,1261707344,The Smashing Pumpkins,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Interstate Love Song - 2019 Remaster,1261707344,Stone Temple Pilots,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Dumb,1261707344,Nirvana,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,What's My Age Again?,1261707344,blink-182,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Hemorrhage (In My Hands),1261707344,Fuel,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,If You Could Only See,1261707344,Tonic,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Love Buzz,1261707344,Nirvana,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Say It Ain't So - Original Mix,1261707344,Weezer,NaN,NaN,NaN,NaN,NaN
